,reported_acceptor,reported_donor,reference,DOI,Voc,Jsc,FF,PCE,acceptor_type,acceptor_class,fused_rings_in_core,donor_type,acc_SMILES_sidechains,acc_SMILES_shortened_sidechains,don_SMILES_sidechains,don_SMILES_shortened_sidechains
1650,ATT-1,PTB7-Th,,10.1021/jacs.6b08523,0.87,16.48,70.0,,sm,fused,5.0,polymer,N#CC(C#N)=C1SC(=CC=2SC(C=3SC=4C=5C=C6C(=CC5C(C7=CC=C(C=C7)CCCCCC)(C8=CC=C(C=C8)CCCCCC)C4C3)C=9SC(=CC9C6(C%10=CC=C(C=C%10)CCCCCC)C%11=CC=C(C=C%11)CCCCCC)C=%12SC(C=C%13SC(=C(C#N)C#N)N(C%13=O)CC)=C%14SC(=CC%14%12)C(=O)OCCCCCCCC)=C%15C=C(SC2%15)C(=O)OCCCCCCCC)C(=O)N1CC,N#C/C(C#N)=C1SC(C(N\1CC)=O)=CC2=C3SC(C(OCC)=O)=CC3=C(C4=CC5=C(C6=C(C(C7=CC=C(CC)C=C7)5C8=CC=C(CC)C=C8)C=C(C9=C(C%10(C%11=CC=C(CC)C=C%11)C%12=CC=C(CC)C=C%12)C=C(C%13=C%14C=C(C(OCC)=O)SC%14=C(C=C%15S/C(N(CC)C%15=O)=C(C#N)\C#N)S%13)S9)C%10=C6)S4)S2,FC1=C(C(OCC(CCCC)CC)=O)SC2=C(SC=C21)C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C6=C(C(F)=C(C(OCC(CCCC)CC)=O)S7)C7=C(S6)C(S8)=CC9=C8C(C%10=CC=C(CC(CCCC)CC)S%10)=C(C=C(C%11=C(C(F)=C(C(OCC(CCCC)CC)=O)S%12)C%12=C(S%11)C(S%13)=CC%14=C%13C(C%15=CC=C(CC(CC)CCCC)S%15)=C(C=CS%16)C%16=C%14C%17=CC=C(CC(CC)CCCC)S%17)S%18)C%18=C9C%19=CC=C(CC(CCCC)CC)S%19)S%20)C%20=C4C%21=CC=C(CC(CC)CCCC)S%21,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
1651,INIC,FTAZ,,10.1021/jacs.6b12755,0.9570000000000001,13.51,57.9,,sm,fused,9.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC4=C(SC5=C4SC=6C=7C=C8C(=CC7C(C9=CC=C(C=C9)CCCCCC)(C%10=CC=C(C=C%10)CCCCCC)C56)C=%11SC=%12C=%13SC(=CC%13SC%12C%11C8(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)C=C%16C(=O)C=%17C=CC=CC%17C%16=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,CCCCC(CCCCCC)CCC1=C2C=C(C3=CC=C(C4=C(C(F)=C(C5=CC=C(C6=CC(C(CCC(CCCCCC)CCCC)=C7SC(C8=CC=C(C9=C(C(F)=CC%10=NN(CC(CCCCCC)CC)N=C%109)F)S8)=CC7=C%11CCC(CCCCCC)CCCC)=C%11S6)S5)C%12=NN(CC(CCCCCC)CCCC)N=C%124)F)S3)SC2=C(CCC(CCCCCC)CCCC)C%13=C1SC(C%14=CC=C(C(C%15=NN(CC(CCCCCC)CCCC)N=C%15%16)=C(F)C(F)=C%16C%17=CC=C(S%17)C%18=CC%19=C(CCC(CCCCCC)CCCC)C%20=C(C(CCC(CCCCCC)CCCC)=C%19S%18)C=C(S%20)C%21=CC=CS%21)S%14)=C%13,CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12
1652,INIC1,FTAZ,,10.1021/jacs.6b12755,0.929,16.63,64.3,,sm,fused,9.0,polymer,N#CC(C#N)=C1C=2C=CC=C(F)C2C(=O)C1=CC=3SC4=C(SC5=C4SC=6C=7C=C8C(=CC7C(C9=CC=C(C=C9)CCCCCC)(C%10=CC=C(C=C%10)CCCCCC)C56)C=%11SC=%12C=%13SC(=CC%13SC%12C%11C8(C%14=CC=C(C=C%14)CCCCCC)C%15=CC=C(C=C%15)CCCCCC)C=C%16C(=O)C=%17C(F)=CC=CC%17C%16=C(C#N)C#N)C3,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8c(F)cccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5c(F)cccc5C4=C(C#N)C#N)sc23)cc1,CCCCC(CCCCCC)CCC1=C2C=C(C3=CC=C(C4=C(C(F)=C(C5=CC=C(C6=CC(C(CCC(CCCCCC)CCCC)=C7SC(C8=CC=C(C9=C(C(F)=CC%10=NN(CC(CCCCCC)CC)N=C%109)F)S8)=CC7=C%11CCC(CCCCCC)CCCC)=C%11S6)S5)C%12=NN(CC(CCCCCC)CCCC)N=C%124)F)S3)SC2=C(CCC(CCCCCC)CCCC)C%13=C1SC(C%14=CC=C(C(C%15=NN(CC(CCCCCC)CCCC)N=C%15%16)=C(F)C(F)=C%16C%17=CC=C(S%17)C%18=CC%19=C(CCC(CCCCCC)CCCC)C%20=C(C(CCC(CCCCCC)CCCC)=C%19S%18)C=C(S%20)C%21=CC=CS%21)S%14)=C%13,CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12
1653,INIC2,FTAZ,,10.1021/jacs.6b12755,0.903,17.56,66.8,,sm,fused,9.0,polymer,N#C/C(C#N)=C1C2=C(C(C\1=CC3=CC(SC4=C5SC6=C4C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9=C6C=C%10C(C%11=C(C%10(C%12=CC=C(CCCCCC)C=C%12)C%13=CC=C(CCCCCC)C=C%13)C%14=C(C%15=C(S%14)C=C(C=C%16C(C%17=C(/C%16=C(C#N)/C#N)C=CC(F)=C%17)=O)S%15)S%11)=C9)=C5S3)=O)C=C(F)C=C2,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc5c(sc6cc(/C=C7\C(=O)c8cc(F)ccc8C7=C(C#N)C#N)sc65)c32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2c-4sc3c2sc2cc(/C=C4\C(=O)c5cc(F)ccc5C4=C(C#N)C#N)sc23)cc1,CCCCC(CCCCCC)CCC1=C2C=C(C3=CC=C(C4=C(C(F)=C(C5=CC=C(C6=CC(C(CCC(CCCCCC)CCCC)=C7SC(C8=CC=C(C9=C(C(F)=CC%10=NN(CC(CCCCCC)CC)N=C%109)F)S8)=CC7=C%11CCC(CCCCCC)CCCC)=C%11S6)S5)C%12=NN(CC(CCCCCC)CCCC)N=C%124)F)S3)SC2=C(CCC(CCCCCC)CCCC)C%13=C1SC(C%14=CC=C(C(C%15=NN(CC(CCCCCC)CCCC)N=C%15%16)=C(F)C(F)=C%16C%17=CC=C(S%17)C%18=CC%19=C(CCC(CCCCCC)CCCC)C%20=C(C(CCC(CCCCCC)CCCC)=C%19S%18)C=C(S%20)C%21=CC=CS%21)S%14)=C%13,CCc1c2cc(-c3ccc(-c4c(F)c(F)c(-c5ccc(-c6cc7c(CC)c8sc(-c9ccc(-c%10c(F)c(F)c(-c%11ccc(-c%12cc%13c(CC)c%14sc(-c%15ccc(-c%16c(F)c(F)c(-c%17cccs%17)c%17nn(CC)nc%16%17)s%15)cc%14c(CC)c%13s%12)s%11)c%11nn(CC)nc%10%11)s9)cc8c(CC)c7s6)s5)c5nn(CC)nc45)s3)sc2c(CC)c2ccsc12
1654,IDT-BC6,PBDB-T,,10.1021/jacs.7b00566,0.92,5.63,44.0,,sm,fused,5.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC3=CC(=C(C=C3CCCCCC)C=4SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C5C4)C=%10SC(=CC%10C7(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=%13C=C(C(C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N)=CC%13CCCCCC)CCCCCC)CCCCCC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5cc(CC)c(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)cc5CC)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3cc(CC)c(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc3CC)sc2-4)cc1,CCC(CCCC)CC1=CC=C(S1)C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1
1655,IDT-BOC6,PBDB-T,,10.1021/jacs.7b00566,1.01,17.52,54.0,,sm,fused,5.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC3=CC(OCCCCCC)=C(C=C3OCCCCCC)C=4SC=5C=6C=C7C(=CC6C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C5C4)C=%10SC(=CC%10C7(C%11=CC=C(C=C%11)CCCCCC)C%12=CC=C(C=C%12)CCCCCC)C=%13C=C(OCCCCCC)C(=CC%13OCCCCCC)C=C%14C(=O)C=%15C=CC=CC%15C%14=C(C#N)C#N,CCOc1cc(-c2cc3c(s2)-c2cc4c(cc2C3(c2ccc(CC)cc2)c2ccc(CC)cc2)-c2sc(-c3cc(OCC)c(/C=C5\C(=O)c6ccccc6C5=C(C#N)C#N)cc3OCC)cc2C4(c2ccc(CC)cc2)c2ccc(CC)cc2)c(OCC)cc1/C=C1\C(=O)c2ccccc2C1=C(C#N)C#N,CCC(CCCC)CC1=CC=C(S1)C2=C3C(SC(C4=CC=C(S4)C(SC(C5=CC=C(C6=CC7=C(S6)C(C8=CC=C(CC(CCCC)CC)S8)=C9C(SC(C%10=CC=C(S%10)C(SC(C%11=CC=C(C%12=CC%13=C(S%12)C(C%14=CC=C(CC(CCCC)CC)S%14)=C%15C(SC(C%16=CC=C(S%16)C(SC(C%17=CC=CS%17)=C%18C%19=O)=C%18C(C%20=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%20%19)=O)=C%15)=C%13C%21=CC=C(CC(CCCC)CC)S%21)S%11)=C%22C%23=O)=C%22C(C%24=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%24%23)=O)=C9)=C7C%25=CC=C(CC(CCCC)CC)S%25)S5)=C%26C%27=O)=C%26C(C%28=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C%28%27)=O)=C3)=C(C%29=CC=C(CC(CCCC)CC)S%29)C%30=C2SC=C%30,CCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10ccc(-c%11sc(-c%12ccc(-c%13cc%14c(-c%15ccc(CC)s%15)c%15sc(-c%16ccc(-c%17sc(-c%18cccs%18)c%18c%17C(=O)c%17c(CC)sc(CC)c%17C%18=O)s%16)cc%15c(-c%15ccc(CC)s%15)c%14s%13)s%12)c%12c%11C(=O)c%11c(CC)sc(CC)c%11C%12=O)s%10)cc9c(-c9ccc(CC)s9)c8s7)s6)c6c5C(=O)c5c(CC)sc(CC)c5C6=O)s4)sc3c(-c3ccc(CC)s3)c3ccsc23)s1
1656,BT-IC,PTB7-Th,,10.1021/jacs.7b11278,0.81,17.5,59.6,,sm,fused,7.0,polymer,N#C/C(C#N)=C1C2=C(C=CC=C2)C(C/1=C\C(S3)=CC(C4(C5=CC=C(C=C5)CCCCCC)C(C=C6)=CC=C6CCCCCC)=C3C7=C4C(C(OCC(CC)CCCC)=C(C8=C9OCC(CCCC)CC)SC%10=C8C(C%11=CC=C(C=C%11)CCCCCC)(C%12=CC=C(C=C%12)CCCCCC)C%13=C%10SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C9S7)=O,CCC1=CC=C(C2(C3=CC=C(C=C3)CC)C(C=C(/C=C4C(C(C=CC=C5)=C5C\4=C(C#N)\C#N)=O)S6)=C6C7=C2C(C(OCC)=C(C8=C9OCC)SC%10=C8C(C%11=CC=C(C=C%11)CC)(C%12=CC=C(C=C%12)CC)C%13=C%10SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C9S7)C=C1,FC1=C(C(OCC(CCCC)CC)=O)SC2=C(SC=C21)C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C6=C(C(F)=C(C(OCC(CCCC)CC)=O)S7)C7=C(S6)C(S8)=CC9=C8C(C%10=CC=C(CC(CCCC)CC)S%10)=C(C=C(C%11=C(C(F)=C(C(OCC(CCCC)CC)=O)S%12)C%12=C(S%11)C(S%13)=CC%14=C%13C(C%15=CC=C(CC(CC)CCCC)S%15)=C(C=CS%16)C%16=C%14C%17=CC=C(CC(CC)CCCC)S%17)S%18)C%18=C9C%19=CC=C(CC(CCCC)CC)S%19)S%20)C%20=C4C%21=CC=C(CC(CC)CCCC)S%21,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
1657,BT-IC,J71,,10.1039/C7EE00844A,0.9,17.75,65.7,,sm,fused,7.0,polymer,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CCCC)CC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CCCC)CC)=C8S7,CCOc1c2sc3c(c2c(OCC)c2sc4c(c12)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1cc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,CCC[Si](CCC)(CCC)C1=CC=C(S1)C2=C3SC(C4=CC=C(C5=C(C(F)=CC6=NN(CC(CCCCCCCC)CCCCCC)N=C65)F)S4)=CC3=C(C7=CC=C([Si](CCC)(CCC)CCC)S7)C8=C2C=C(S8)C9=CC=C(C(C%10=NN(CC(CCCCCCCC)CCCCCC)N=C%10%11)=C(F)C(F)=C%11C%12=CC=C(S%12)C%13=CC%14=C(C%15=CC=C([Si](CCC)(CCC)CCC)S%15)C%16=C(C(C%17=CC=C([Si](CCC)(CCC)CCC)S%17)=C%14S%13)C=C(S%16)C%18=CC=C(C(C%19=NN(CC(CCCCCCCC)CCCCCC)N=C%19%20)=C(F)C(F)=C%20C%21=CC=C(S%21)C%22=CC%23=C(C%24=CC=C([Si](CCC)(CCC)CCC)S%24)C%25=C(C(C%26=CC=C([Si](CCC)(CCC)CCC)S%26)=C%23S%22)C=C(S%25)C%27=CC=CS%27)S%18)S9,CCN1N=C2C(C3=CC=CS3)=C(C(F)=C(C2=N1)C4=CC=C(S4)C5=CC6=C(C7=C(C(C8=CC=C(S8)[Si](CC)(CC)CC)=C6S5)C=C(C9=CC=C(S9)C%10=C(C(F)=C(C%11=NN(N=C%10%11)CC)C%12=CC=C(S%12)C%13=CC%14=C(C%15=C(C(C%16=CC=C(S%16)[Si](CC)(CC)CC)=C%14S%13)C=C(C%17=CC=C(S%17)C%18=C(C(F)=C(C%19=NN(N=C%18%19)CC)C%20=CC=C(S%20)C%21=CC%22=C(C%23=C(C(C%24=CC=C(S%24)[Si](CC)(CC)CC)=C%22S%21)C=CS%23)C%25=CC=C(S%25)[Si](CC)(CC)CC)F)S%15)C%26=CC=C(S%26)[Si](CC)(CC)CC)F)S7)C%27=CC=C(S%27)[Si](CC)(CC)CC)F
1658,BT-IC,J61,,10.1039/C7EE00844A,0.87,16.35,67.1,,sm,fused,7.0,polymer,O=C(C(C=CC=C1)=C1C/2=C(C#N)/C#N)C2=C/C3=CC(C4(C5=CC=C(CCCCCC)C=C5)C6=CC=C(CCCCCC)C=C6)=C(S3)C7=C4C8=C(OCC(CCCC)CC)C(SC9=C%10C(C%11=CC=C(CCCCCC)C=C%11)(C%12=CC=C(CCCCCC)C=C%12)C%13=C9SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C%13)=C%10C(OCC(CCCC)CC)=C8S7,CCOc1c2sc3c(c2c(OCC)c2sc4c(c12)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1cc(/C=C2\C(=O)c5ccccc5C2=C(C#N)C#N)sc1-4)C(c1ccc(CC)cc1)(c1ccc(CC)cc1)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,CCCCCCCCCCCCSC1=CC=C(S1)C2=C3SC(C4=CC=C(C5=C(C(F)=CC6=NN(CC(CCCCCCCC)CCCCCC)N=C65)F)S4)=CC3=C(C7=CC=C(SCCCCCCCCCCCC)S7)C8=C2C=C(S8)C9=CC=C(C(C%10=NN(CC(CCCCCCCC)CCCCCC)N=C%10%11)=C(F)C(F)=C%11C%12=CC=C(S%12)C%13=CC%14=C(C%15=CC=C(SCCCCCCCCCCCC)S%15)C%16=C(C(C%17=CC=C(SCCCCCCCCCCCC)S%17)=C%14S%13)C=C(S%16)C%18=CC=C(C(C%19=NN(CC(CCCCCCCC)CCCCCC)N=C%19%20)=C(F)C(F)=C%20C%21=CC=C(S%21)C%22=CC%23=C(C%24=CC=C(SCCCCCCCCCCCC)S%24)C%25=C(C(C%26=CC=C(SCCCCCCCCCCCC)S%26)=C%23S%22)C=C(S%25)C%27=CC=CS%27)S%18)S9,CCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6ccc(-c7cc8c(-c9ccc(SCC)s9)c9sc(-c%10ccc(-c%11c(F)c(F)c(-c%12ccc(-c%13cc%14c(-c%15ccc(SCC)s%15)c%15sc(-c%16ccc(-c%17c(F)c(F)c(-c%18cccs%18)c%18nn(CC)nc%17%18)s%16)cc%15c(-c%15ccc(SCC)s%15)c%14s%13)s%12)c%12nn(CC)nc%11%12)s%10)cc9c(-c9ccc(SCC)s9)c8s7)s6)c6nn(CC)nc56)s4)sc3c(-c3ccc(SCC)s3)c3ccsc23)s1
1659,DTPC-IC,PTB7-Th,,10.1021/jacs.7b13239,0.863,8.53,42.4,,sm,fused,10.0,polymer,N#CC(C#N)=C1C=2C=CC=CC2C(=O)C1=CC=3SC=4C=5C=C6C7=C8C(=CC=C(C58)C(C9=CC=C(C=C9)CCCCCC)(C%10=CC=C(C=C%10)CCCCCC)C4C3)C%11=CC=C%12C%13=C(C=C(C7=C%11%13)N6CC(CCCCCC)CCCCCCCC)C=%14SC(C=C%15C(=O)C=%16C=CC=CC%16C%15=C(C#N)C#N)=CC%14C%12(C%17=CC=C(C=C%17)CCCCCC)C%18=CC=C(C=C%18)CCCCCC,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc3-c3cc4c5c6c3c2ccc6c2ccc3c6c(cc(c5c62)n4CC)-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc2C3(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,FC1=C(C(OCC(CCCC)CC)=O)SC2=C(SC=C21)C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C6=C(C(F)=C(C(OCC(CCCC)CC)=O)S7)C7=C(S6)C(S8)=CC9=C8C(C%10=CC=C(CC(CCCC)CC)S%10)=C(C=C(C%11=C(C(F)=C(C(OCC(CCCC)CC)=O)S%12)C%12=C(S%11)C(S%13)=CC%14=C%13C(C%15=CC=C(CC(CC)CCCC)S%15)=C(C=CS%16)C%16=C%14C%17=CC=C(CC(CC)CCCC)S%17)S%18)C%18=C9C%19=CC=C(CC(CCCC)CC)S%19)S%20)C%20=C4C%21=CC=C(CC(CC)CCCC)S%21,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
1660,DTPC-DFIC,PTB7-Th,,10.1021/jacs.7b13239,0.76,21.92,61.3,,sm,fused,10.0,polymer,N#CC(C#N)=C1C(=CC=2SC=3C=4C=C5C6=C7C(=CC=C(C47)C(C8=CC=C(C=C8)CCCCCC)(C9=CC=C(C=C9)CCCCCC)C3C2)C%10=CC=C%11C%12=C(C=C(C6=C%10%12)N5CC(CCCCCC)CCCCCCCC)C=%13SC(C=C%14C(=O)C%15=CC(F)=C(F)C=C%15C%14=C(C#N)C#N)=CC%13C%11(C%16=CC=C(C=C%16)CCCCCC)C%17=CC=C(C=C%17)CCCCCC)C(=O)C%18=CC(F)=C(F)C=C%181,CCc1ccc(C2(c3ccc(CC)cc3)c3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc3-c3cc4c5c6c3c2ccc6c2ccc3c6c(cc(c5c62)n4CC)-c2sc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)cc2C3(c2ccc(CC)cc2)c2ccc(CC)cc2)cc1,FC1=C(C(OCC(CCCC)CC)=O)SC2=C(SC=C21)C(S3)=CC4=C3C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C6=C(C(F)=C(C(OCC(CCCC)CC)=O)S7)C7=C(S6)C(S8)=CC9=C8C(C%10=CC=C(CC(CCCC)CC)S%10)=C(C=C(C%11=C(C(F)=C(C(OCC(CCCC)CC)=O)S%12)C%12=C(S%11)C(S%13)=CC%14=C%13C(C%15=CC=C(CC(CC)CCCC)S%15)=C(C=CS%16)C%16=C%14C%17=CC=C(CC(CC)CCCC)S%17)S%18)C%18=C9C%19=CC=C(CC(CCCC)CC)S%19)S%20)C%20=C4C%21=CC=C(CC(CC)CCCC)S%21,CCOC(=O)c1sc2c(-c3cc4c(-c5ccc(CC)s5)c5sc(-c6sc(-c7cc8c(-c9ccc(CC)s9)c9sc(-c%10sc(-c%11cc%12c(-c%13ccc(CC)s%13)c%13sccc%13c(-c%13ccc(CC)s%13)c%12s%11)c%11sc(C(=O)OCC)c(F)c%10%11)cc9c(-c9ccc(CC)s9)c8s7)c7sc(C(=O)OCC)c(F)c67)cc5c(-c5ccc(CC)s5)c4s3)scc2c1F
